Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
202.0,Samurai Warriors Chronicles 3,2014,Action,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
203.0,Eiyuu Densetsu: Zero no Kiseki,2012,Misc,Falcom Corporation,0.0,0.0,0.07,0.0,0.07
204.0,MotorStorm RC,2012,Racing,Sony Computer Entertainment,0.0,0.05,0.0,0.01,0.07
205.0,Pro Yaky? Spirits 2014,2014,Misc,Konami Digital Entertainment,0.0,0.0,0.07,0.0,0.07
206.0,Genkai Tokki: Moero Crystal,2015,Role-Playing,Compile Heart,0.0,0.0,0.07,0.0,0.07
207.0,Miracle Girls Festival,2015,Misc,Sega,0.0,0.0,0.07,0.0,0.07
208.0,Project Setsuna,2016,Role-Playing,Square Enix,0.0,0.0,0.07,0.0,0.07
209.0,Natural Doctrine,2014,Misc,NIS America,0.02,0.01,0.03,0.01,0.07
210.0,Bad Apple Wars,2015,Action,Aksys Games,0.02,0.0,0.04,0.01,0.07
211.0,Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
212.0,Samurai Warriors 4: Empires,2015,Action,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
213.0,Mahouka Koukou no Rettousei: Out of Order,2014,Adventure,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
214.0,Criminal Girls,2013,Misc,NIS America,0.01,0.01,0.04,0.01,0.07
215.0,Bullet Girls,2014,Misc,D3Publisher,0.0,0.0,0.07,0.0,0.07
216.0,Kangokutou Mary Skelter,2016,Role-Playing,Idea Factory,0.01,0.0,0.04,0.01,0.06
217.0,Atelier Meruru: Alchemist of Arland 3,2013,Misc,Gust,0.0,0.0,0.06,0.0,0.06
218.0,Genkai Tokki Monster Monpiece,2013,Misc,Idea Factory,0.0,0.0,0.06,0.0,0.06
219.0, Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings,2017,Role-Playing,Aquaplus,0.0,0.0,0.06,0.0,0.06
220.0,The Legend of Heroes: Ao no Kiseki,2014,Misc,Nihon Falcom Corporation,0.0,0.0,0.06,0.0,0.06
221.0,Kamen Rider: Battride War Genesis,2016,Action,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
222.0,Saki: Zenkoku-hen,2015,Misc,Kaga Create,0.0,0.0,0.06,0.0,0.06
223.0,Pro Yakyuu Spirits 2013,2013,Misc,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
224.0,Chaos Rings III,2014,Role-Playing,Square Enix,0.0,0.0,0.06,0.0,0.06
225.0,Omega Labyrinth,2015,Role-Playing,D3Publisher,0.0,0.0,0.06,0.0,0.06
226.0,To Heart 2: Dungeon Travelers,2015,Adventure,Aqua Plus,0.0,0.0,0.06,0.0,0.06
227.0,Earth Defense Force 2017 Portable,2012,Misc,D3Publisher,0.0,0.0,0.06,0.0,0.06
228.0,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,2015,Role-Playing,Idea Factory,0.02,0.01,0.02,0.01,0.06
229.0,Luminous Arc Infinity,2015,Action,Marvel Entertainment,0.0,0.0,0.06,0.0,0.06
230.0,Uta no Prince-Sama: Music 3,2016,Action,Broccoli,0.0,0.0,0.06,0.0,0.06
231.0,Stranger of Sword City,2015,Role-Playing,NIS America,0.04,0.01,0.0,0.02,0.06
232.0,Puyo Puyo Tetris,2014,Misc,Sega,0.0,0.0,0.06,0.0,0.06
233.0,Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,2015,Action,Aksys Games,0.01,0.0,0.04,0.01,0.06
234.0,Samurai Warriors 4-II,2015,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
235.0,Tokyo Ghoul: Jail,2015,Racing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
236.0,Valkyria: Azure Revolution,2017,Role-Playing,Sega,0.0,0.0,0.06,0.0,0.06
237.0,Nobunaga's Ambition: Creation,2014,Misc,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
238.0,Refrain no Chika Meikyuu to Majo no Ryodan,2016,Action,Nippon Ichi Software,0.0,0.0,0.06,0.0,0.06
239.0,Pro Yakyuu Spirits 2012,2012,Misc,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
